fiscal_year,quarter,period,department,cost_type,headcount,budget_usd,actual_usd,variance_usd,variance_pct,has_actual
2024,Q3,2024-Q3,Human Resources,OpEx,15,310114.67,325042.0,14927.33,4.81,True
2024,Q4,2024-Q4,Cloud Software,COGS+OpEx,92,2140334.72,2399914.42,259579.7,12.13,True
2024,Q4,2024-Q4,Professional Services,COGS+OpEx,71,1702803.44,1785134.11,82330.67,4.84,True
2024,Q4,2024-Q4,Support & Maintenance,COGS+OpEx,46,1027676.06,1080210.6,52534.54,5.11,True
2024,Q4,2024-Q4,Sales & Marketing,OpEx,61,1161603.4,1221869.47,60266.07,5.19,True
2024,Q4,2024-Q4,Research & Development,OpEx,52,1188226.22,1350083.14,161856.91,13.62,True
2024,Q4,2024-Q4,General & Administrative,OpEx,33,693678.44,788242.25,94563.81,13.63,True
2024,Q4,2024-Q4,Finance,OpEx,19,443149.93,484260.99,41111.07,9.28,True
2024,Q4,2024-Q4,Human Resources,OpEx,16,329257.59,359651.29,30393.7,9.23,True
2025,Q1,2025-Q1,Cloud Software,COGS+OpEx,101,2281001.48,2279212.53,-1788.95,-0.08,True
2025,Q1,2025-Q1,Professional Services,COGS+OpEx,74,1479177.33,1500644.91,21467.58,1.45,True
2025,Q1,2025-Q1,Support & Maintenance,COGS+OpEx,48,1024674.1,1017690.86,-6983.24,-0.68,True
2025,Q1,2025-Q1,Sales & Marketing,OpEx,64,1402443.58,1429525.52,27081.94,1.93,True
2025,Q1,2025-Q1,Research & Development,OpEx,57,1249170.57,1254462.75,5292.18,0.42,True
2025,Q1,2025-Q1,General & Administrative,OpEx,34,838588.92,843860.27,5271.35,0.63,True
2025,Q1,2025-Q1,Finance,OpEx,21,474197.21,461043.42,-13153.79,-2.77,True
2025,Q1,2025-Q1,Human Resources,OpEx,16,357622.83,349583.77,-8039.06,-2.25,True
2025,Q2,2025-Q2,Cloud Software,COGS+OpEx,100,2244771.17,,,,False
2025,Q2,2025-Q2,Professional Services,COGS+OpEx,73,1485180.73,,,,False
2025,Q2,2025-Q2,Support & Maintenance,COGS+OpEx,49,1214163.0,,,,False
2025,Q2,2025-Q2,Sales & Marketing,OpEx,66,1490736.53,,,,False
2025,Q2,2025-Q2,Research & Development,OpEx,58,1268327.36,,,,False
2025,Q2,2025-Q2,General & Administrative,OpEx,35,712853.13,,,,False
2025,Q2,2025-Q2,Finance,OpEx,21,489743.38,,,,False
2025,Q2,2025-Q2,Human Resources,OpEx,16,315257.4,,,,False
2025,Q3,2025-Q3,Cloud Software,COGS+OpEx,101,1946625.71,,,,False
2025,Q3,2025-Q3,Professional Services,COGS+OpEx,73,1580953.84,,,,False
2025,Q3,2025-Q3,Support & Maintenance,COGS+OpEx,48,1096148.14,,,,False
2025,Q3,2025-Q3,Sales & Marketing,OpEx,66,1378354.39,,,,False
2025,Q3,2025-Q3,Research & Development,OpEx,56,1310243.76,,,,False
2025,Q3,2025-Q3,General & Administrative,OpEx,34,641381.1,,,,False
2025,Q3,2025-Q3,Finance,OpEx,20,429590.31,,,,False
2025,Q3,2025-Q3,Human Resources,OpEx,16,341737.56,,,,False
2025,Q4,2025-Q4,Cloud Software,COGS+OpEx,98,1929650.0,,,,False
2025,Q4,2025-Q4,Professional Services,COGS+OpEx,72,1456820.76,,,,False
2025,Q4,2025-Q4,Support & Maintenance,COGS+OpEx,47,1059344.6,,,,False
2025,Q4,2025-Q4,Sales & Marketing,OpEx,66,1311440.58,,,,False
2025,Q4,2025-Q4,Research & Development,OpEx,55,1112760.6,,,,False
2025,Q4,2025-Q4,General & Administrative,OpEx,35,745501.99,,,,False
2025,Q4,2025-Q4,Finance,OpEx,21,491054.86,,,,False
2025,Q4,2025-Q4,Human Resources,OpEx,16,336750.07,,,,False
